Name,"Reference" ,"Hf298" ,"S298" ,"Cp300" ,"Cp400" ,"Cp500" ,"Cp600" ,"Cp800" ,"Cp1000" ,"Cp1500" 
"ch3/ch2/ch2/ch2(.)",""1-butyl"" ," 18.78" ," 77.57" ," 26.48" ," 32.04" ," 36.98" ," 43.10" ," 49.09" ," 51.24" ," 59.28" 


"ch3/ch2/ch2/ch2/ch2(.)",""1-pentyl"" ," 13.78" ," 87.24" ," 32.07" ," 39.12" ," 45.41" ," 52.63" ," 60.32" ," 63.72" ," 73.53" 


"ch3/ch2/ch2/ch2/ch2/ch2(.)",""1-hexyl"" ,"  8.78" ," 96.90" ," 37.66" ," 46.20" ," 53.84" ," 62.16" ," 71.55" ," 76.20" ," 87.78" 


"ch3/ch2/ch2/ch2/ch2/ch2/ch2(.)",""1-heptyl"" ,"  3.78" ,"106.56" ," 43.25" ," 53.28" ," 62.27" ," 71.69" ," 82.78" ," 88.68" ,"102.03" 



